arquivo,combinacao,instancia,n_nos,n_atividades_reais,n_arcos,aciclico,n_recursos_renovaveis,n_recursos_nao_renovaveis,horizonte,NC,RF,RS,duracao_media,duracao_maxima,makespan_sem_recursos,disponibilidades
j6031_9.sm,31,9,62,60,112,True,4,0,374,1.806452,1.0,0.700676,6.2333,10,86,37;42;54;47
j6032_1.sm,32,1,62,60,112,True,4,0,337,1.806452,1.0,1.0,5.6167,10,69,60;79;76;65
j6032_10.sm,32,10,62,60,112,True,4,0,327,1.806452,1.0,1.0,5.45,10,77,44;45;53;45
j6032_2.sm,32,2,62,60,112,True,4,0,342,1.806452,1.0,1.0,5.7,10,114,50;44;44;43
j6032_3.sm,32,3,62,60,112,True,4,0,371,1.806452,1.0,1.0,6.1833,10,85,51;69;53;56
j6032_4.sm,32,4,62,60,112,True,4,0,307,1.806452,1.0,1.0,5.1167,10,56,73;72;76;53
j6032_5.sm,32,5,62,60,112,True,4,0,335,1.806452,1.0,1.0,5.5833,10,77,52;50;51;44
j6032_6.sm,32,6,62,60,112,True,4,0,324,1.806452,1.0,1.0,5.4,10,93,52;38;49;47
j6032_7.sm,32,7,62,60,112,True,4,0,334,1.806452,1.0,1.0,5.5667,10,76,52;57;44;46
j6032_8.sm,32,8,62,60,112,True,4,0,300,1.806452,1.0,1.0,5.0,10,76,49;52;53;58
j6032_9.sm,32,9,62,60,112,True,4,0,373,1.806452,1.0,1.0,6.2167,10,74,52;41;49;49
j6033_1.sm,33,1,62,60,131,True,4,0,346,2.112903,0.25,0.2125,5.7667,10,90,12;13;10;12
j6033_10.sm,33,10,62,60,131,True,4,0,318,2.112903,0.25,0.178044,5.3,10,69,12;10;10;13
j6033_2.sm,33,2,62,60,131,True,4,0,353,2.112903,0.25,0.172161,5.8833,10,100,13;12;11;13
j6033_3.sm,33,3,62,60,131,True,4,0,305,2.112903,0.25,0.157051,5.0833,10,77,10;13;13;11
j6033_4.sm,33,4,62,60,131,True,4,0,342,2.112903,0.25,0.191356,5.7,10,75,12;13;11;13
j6033_5.sm,33,5,62,60,131,True,4,0,371,2.112903,0.25,0.176623,6.1833,10,97,12;12;11;11
j6033_6.sm,33,6,62,60,131,True,4,0,341,2.112903,0.25,0.191096,5.6833,10,65,13;13;13;10
j6033_7.sm,33,7,62,60,131,True,4,0,341,2.112903,0.25,0.214352,5.6833,10,66,10;15;13;14
j6033_8.sm,33,8,62,60,131,True,4,0,326,2.112903,0.25,0.219479,5.4333,10,74,10;11;15;14
j6033_9.sm,33,9,62,60,131,True,4,0,343,2.112903,0.25,0.223764,5.7167,10,102,13;13;10;14
j6034_1.sm,34,1,62,60,131,True,4,0,329,2.112903,0.25,0.519231,5.4833,10,67,17;11;17;17
j6034_10.sm,34,10,62,60,131,True,4,0,361,2.112903,0.25,0.507353,6.0167,10,92,19;11;18;15
j6034_2.sm,34,2,62,60,131,True,4,0,328,2.112903,0.25,0.519697,5.4667,10,65,18;16;14;18
j6034_3.sm,34,3,62,60,131,True,4,0,308,2.112903,0.25,0.526282,5.1333,10,61,15;18;18;17
j6034_4.sm,34,4,62,60,131,True,4,0,317,2.112903,0.25,0.508333,5.2833,10,83,13;16;16;18
j6034_5.sm,34,5,62,60,131,True,4,0,312,2.112903,0.25,0.516667,5.2,10,80,14;18;14;18
j6034_6.sm,34,6,62,60,131,True,4,0,357,2.112903,0.25,0.523263,5.95,10,77,26;17;17;14
j6034_7.sm,34,7,62,60,131,True,4,0,326,2.112903,0.25,0.525,5.4333,10,83,17;22;12;13
j6034_8.sm,34,8,62,60,131,True,4,0,289,2.112903,0.25,0.520979,4.8167,10,61,15;15;13;16
j6034_9.sm,34,9,62,60,131,True,4,0,319,2.112903,0.25,0.544841,5.3167,10,77,13;15;20;19
j6035_1.sm,35,1,62,60,131,True,4,0,353,2.112903,0.25,0.71558,5.8833,10,78,16;16;17;26
j6035_10.sm,35,10,62,60,131,True,4,0,327,2.112903,0.25,0.724405,5.45,10,70,19;17;14;21
j6035_2.sm,35,2,62,60,131,True,4,0,365,2.112903,0.25,0.605556,6.0833,10,77,10;23;31;11
j6035_3.sm,35,3,62,60,131,True,4,0,338,2.112903,0.25,0.710985,5.6333,10,87,17;12;16;17
j6035_4.sm,35,4,62,60,131,True,4,0,315,2.112903,0.25,0.709127,5.25,10,72,23;20;21;16
j6035_5.sm,35,5,62,60,131,True,4,0,339,2.112903,0.25,0.725541,5.65,10,75,21;20;18;18
j6035_6.sm,35,6,62,60,131,True,4,0,316,2.112903,0.25,0.721875,5.2667,10,79,17;16;16;19
j6035_7.sm,35,7,62,60,131,True,4,0,323,2.112903,0.25,0.697304,5.3833,10,73,21;16;16;16
j6035_8.sm,35,8,62,60,131,True,4,0,357,2.112903,0.25,0.695707,5.95,10,75,18;18;23;16
j6035_9.sm,35,9,62,60,131,True,4,0,318,2.112903,0.25,0.71772,5.3,10,73,19;25;16;15
j6036_1.sm,36,1,62,60,131,True,4,0,296,2.112903,0.25,1.0,4.9333,10,61,18;17;28;17
j6036_10.sm,36,10,62,60,131,True,4,0,331,2.112903,0.25,1.0,5.5167,10,77,17;15;22;15
j6036_2.sm,36,2,62,60,131,True,4,0,302,2.112903,0.25,1.0,5.0333,10,75,24;12;35;10
j6036_3.sm,36,3,62,60,131,True,4,0,322,2.112903,0.25,1.0,5.3667,10,81,12;20;19;30
j6036_4.sm,36,4,62,60,131,True,4,0,327,2.112903,0.25,1.0,5.45,10,85,23;16;14;35
j6036_5.sm,36,5,62,60,131,True,4,0,283,2.112903,0.25,1.0,4.7167,10,57,21;18;28;21
j6036_6.sm,36,6,62,60,131,True,4,0,348,2.112903,0.25,1.0,5.8,10,76,23;20;31;21
j6036_7.sm,36,7,62,60,131,True,4,0,332,2.112903,0.25,1.0,5.5333,10,71,40;23;18;12
j6036_8.sm,36,8,62,60,131,True,4,0,335,2.112903,0.25,1.0,5.5833,10,69,33;16;30;22
j6036_9.sm,36,9,62,60,131,True,4,0,344,2.112903,0.25,1.0,5.7333,10,86,23;19;28;26
j6037_1.sm,37,1,62,60,131,True,4,0,300,2.112903,0.504167,0.197321,5.0,10,70,14;15;14;12
j6037_10.sm,37,10,62,60,131,True,4,0,340,2.112903,0.504167,0.210239,5.6667,10,86,15;16;15;15
j6037_2.sm,37,2,62,60,131,True,4,0,300,2.112903,0.504167,0.197887,5.0,10,68,14;15;14;16
j6037_3.sm,37,3,62,60,131,True,4,0,391,2.112903,0.504167,0.198473,6.5167,10,97,14;16;13;14
j6037_4.sm,37,4,62,60,131,True,4,0,333,2.112903,0.504167,0.197035,5.55,10,75,14;16;15;15
j6037_5.sm,37,5,62,60,131,True,4,0,303,2.112903,0.504167,0.179451,5.05,10,80,16;14;14;12
j6037_6.sm,37,6,62,60,131,True,4,0,346,2.112903,0.504167,0.192593,5.7667,10,62,15;15;15;15
j6037_7.sm,37,7,62,60,131,True,4,0,347,2.112903,0.504167,0.210003,5.7833,10,75,15;14;13;15
j6037_8.sm,37,8,62,60,131,True,4,0,320,2.112903,0.504167,0.210003,5.3333,10,79,15;15;14;13
j6037_9.sm,37,9,62,60,131,True,4,0,336,2.112903,0.504167,0.185923,5.6,10,77,14;17;15;13
j6038_1.sm,38,1,62,60,131,True,4,0,341,2.112903,0.504167,0.508065,5.6833,10,73,26;22;26;21
j6038_10.sm,38,10,62,60,131,True,4,0,332,2.112903,0.504167,0.505,5.5333,10,63,29;25;23;32
j6038_2.sm,38,2,62,60,131,True,4,0,362,2.112903,0.504167,0.514745,6.0333,10,71,23;25;22;19
j6038_3.sm,38,3,62,60,131,True,4,0,338,2.112903,0.504167,0.503571,5.6333,10,76,28;18;27;22
j6038_4.sm,38,4,62,60,131,True,4,0,310,2.112903,0.504167,0.513499,5.1667,10,58,25;26;23;22
j6038_5.sm,38,5,62,60,131,True,4,0,318,2.112903,0.504167,0.5,5.3,10,103,18;19;21;19
j6038_6.sm,38,6,62,60,131,True,4,0,343,2.112903,0.504167,0.525431,5.7167,10,86,25;22;19;17
j6038_7.sm,38,7,62,60,131,True,4,0,343,2.112903,0.504167,0.507353,5.7167,10,74,19;18;25;35
j6038_8.sm,38,8,62,60,131,True,4,0,353,2.112903,0.504167,0.520952,5.8833,10,68,23;23;21;23
j6038_9.sm,38,9,62,60,131,True,4,0,295,2.112903,0.504167,0.510064,4.9167,10,66,22;25;24;24
j6039_1.sm,39,1,62,60,131,True,4,0,324,2.112903,0.504167,0.702594,5.4,10,80,42;22;32;22
j6039_10.sm,39,10,62,60,131,True,4,0,315,2.112903,0.504167,0.714169,5.25,10,74,23;22;20;30
j6039_2.sm,39,2,62,60,131,True,4,0,358,2.112903,0.504167,0.70813,5.9667,10,84,23;34;28;29
j6039_3.sm,39,3,62,60,131,True,4,0,363,2.112903,0.504167,0.713553,6.05,10,83,21;30;24;19
j6039_4.sm,39,4,62,60,131,True,4,0,332,2.112903,0.504167,0.694701,5.5333,10,92,26;26;24;21
j6039_5.sm,39,5,62,60,131,True,4,0,322,2.112903,0.504167,0.711824,5.3667,10,73,22;23;33;23
j6039_6.sm,39,6,62,60,131,True,4,0,303,2.112903,0.504167,0.703119,5.05,10,83,20;24;19;22
j6039_7.sm,39,7,62,60,131,True,4,0,330,2.112903,0.504167,0.699952,5.5,10,68,28;28;31;21
j6039_8.sm,39,8,62,60,131,True,4,0,313,2.112903,0.504167,0.712246,5.2167,10,77,28;26;38;21
j6039_9.sm,39,9,62,60,131,True,4,0,338,2.112903,0.504167,0.704121,5.6333,10,72,25;25;29;23
j603_1.sm,3,1,62,60,93,True,4,0,332,1.5,0.25,0.697443,5.5333,10,60,20;21;18;21
j603_10.sm,3,10,62,60,93,True,4,0,334,1.5,0.25,0.758333,5.5667,10,67,13;16;21;16
j603_2.sm,3,2,62,60,93,True,4,0,332,1.5,0.25,0.701608,5.5333,10,69,13;23;23;21
j603_3.sm,3,3,62,60,93,True,4,0,359,1.5,0.25,0.726648,5.9833,10,102,16;19;18;16
j603_4.sm,3,4,62,60,93,True,4,0,342,1.5,0.25,0.698693,5.7,10,81,23;22;12;24
j603_5.sm,3,5,62,60,93,True,4,0,373,1.5,0.25,0.713289,6.2167,10,83,27;18;22;24
j603_6.sm,3,6,62,60,93,True,4,0,362,1.5,0.25,0.699796,6.0333,10,57,23;22;18;24
j603_7.sm,3,7,62,60,93,True,4,0,315,1.5,0.25,0.692593,5.25,10,58,18;29;20;14
j603_8.sm,3,8,62,60,93,True,4,0,318,1.5,0.25,0.688166,5.3,10,52,23;13;14;20
j603_9.sm,3,9,62,60,93,True,4,0,324,1.5,0.25,0.696709,5.4,10,63,33;14;24;25
j6040_1.sm,40,1,62,60,131,True,4,0,375,2.112903,0.504167,1.0,6.25,10,86,37;24;30;41
j6040_10.sm,40,10,62,60,131,True,4,0,306,2.112903,0.504167,1.0,5.1,10,73,36;23;26;31
j6040_2.sm,40,2,62,60,131,True,4,0,352,2.112903,0.504167,1.0,5.8667,10,81,31;39;26;31
j6040_3.sm,40,3,62,60,131,True,4,0,322,2.112903,0.504167,1.0,5.3667,10,70,37;31;38;29
j6040_4.sm,40,4,62,60,131,True,4,0,338,2.112903,0.504167,1.0,5.6333,10,87,19;34;30;31
j6040_5.sm,40,5,62,60,131,True,4,0,371,2.112903,0.504167,1.0,6.1833,10,83,31;33;25;41
j6040_6.sm,40,6,62,60,131,True,4,0,315,2.112903,0.504167,1.0,5.25,10,69,36;40;38;28
j6040_7.sm,40,7,62,60,131,True,4,0,312,2.112903,0.504167,1.0,5.2,10,68,45;32;30;30
j6040_8.sm,40,8,62,60,131,True,4,0,351,2.112903,0.504167,1.0,5.85,10,80,38;34;26;36
j6040_9.sm,40,9,62,60,131,True,4,0,342,2.112903,0.504167,1.0,5.7,10,90,29;34;33;29
j6041_1.sm,41,1,62,60,131,True,4,0,360,2.112903,0.754167,0.189104,6.0,10,91,16;14;16;16
j6041_10.sm,41,10,62,60,131,True,4,0,364,2.112903,0.754167,0.199338,6.0667,10,71,20;20;20;17
j6041_2.sm,41,2,62,60,131,True,4,0,329,2.112903,0.754167,0.201417,5.4833,10,81,16;18;17;19
j6041_3.sm,41,3,62,60,131,True,4,0,304,2.112903,0.754167,0.196532,5.0667,10,58,18;19;17;19
j6041_4.sm,41,4,62,60,131,True,4,0,332,2.112903,0.754167,0.19276,5.5333,10,100,16;15;15;15
j6041_5.sm,41,5,62,60,131,True,4,0,345,2.112903,0.754167,0.193422,5.75,10,67,15;16;18;18
j6041_6.sm,41,6,62,60,131,True,4,0,339,2.112903,0.754167,0.190046,5.65,10,82,17;16;15;16
j6041_7.sm,41,7,62,60,131,True,4,0,355,2.112903,0.754167,0.189949,5.9167,10,79,16;14;14;16
j6041_8.sm,41,8,62,60,131,True,4,0,352,2.112903,0.754167,0.186921,5.8667,10,95,16;16;16;15
j6041_9.sm,41,9,62,60,131,True,4,0,375,2.112903,0.754167,0.196676,6.25,10,80,15;17;22;16
j6042_1.sm,42,1,62,60,131,True,4,0,328,2.112903,0.754167,0.509885,5.4667,10,83,27;31;28;31
j6042_10.sm,42,10,62,60,131,True,4,0,298,2.112903,0.754167,0.508662,4.9667,10,87,24;26;26;22
j6042_2.sm,42,2,62,60,131,True,4,0,312,2.112903,0.754167,0.505929,5.2,10,68,29;25;35;29
j6042_3.sm,42,3,62,60,131,True,4,0,328,2.112903,0.754167,0.509259,5.4667,10,73,26;24;25;24
j6042_4.sm,42,4,62,60,131,True,4,0,357,2.112903,0.754167,0.50963,5.95,10,94,24;23;23;22
j6042_5.sm,42,5,62,60,131,True,4,0,319,2.112903,0.754167,0.505708,5.3167,10,73,24;31;31;34
j6042_6.sm,42,6,62,60,131,True,4,0,302,2.112903,0.754167,0.505952,5.0333,10,82,27;25;21;21
j6042_7.sm,42,7,62,60,131,True,4,0,268,2.112903,0.754167,0.503205,4.4667,10,55,25;25;30;30
j6042_8.sm,42,8,62,60,131,True,4,0,342,2.112903,0.754167,0.513777,5.7,10,78,22;23;25;26
j6042_9.sm,42,9,62,60,131,True,4,0,313,2.112903,0.754167,0.50766,5.2167,10,70,23;24;34;29
j6043_1.sm,43,1,62,60,131,True,4,0,334,2.112903,0.754167,0.695486,5.5667,10,108,32;35;31;24
j6043_10.sm,43,10,62,60,131,True,4,0,294,2.112903,0.754167,0.705197,4.9,10,78,42;24;32;31
j6043_2.sm,43,2,62,60,131,True,4,0,350,2.112903,0.754167,0.695157,5.8333,10,85,39;25;31;27
j6043_3.sm,43,3,62,60,131,True,4,0,334,2.112903,0.754167,0.701237,5.5667,10,74,37;36;35;42
j6043_4.sm,43,4,62,60,131,True,4,0,373,2.112903,0.754167,0.700139,6.2167,10,74,52;41;28;29
j6043_5.sm,43,5,62,60,131,True,4,0,301,2.112903,0.754167,0.701721,5.0167,10,64,31;37;39;34
j6043_6.sm,43,6,62,60,131,True,4,0,325,2.112903,0.754167,0.69437,5.4167,10,84,35;34;30;32
j6043_7.sm,43,7,62,60,131,True,4,0,309,2.112903,0.754167,0.69665,5.15,10,89,28;32;28;19
j6043_8.sm,43,8,62,60,131,True,4,0,347,2.112903,0.754167,0.705716,5.7833,10,69,46;44;42;42
j6043_9.sm,43,9,62,60,131,True,4,0,295,2.112903,0.754167,0.69879,4.9167,10,70,31;34;28;33
j6044_1.sm,44,1,62,60,131,True,4,0,323,2.112903,0.754167,1.0,5.3833,10,84,44;40;35;42
j6044_10.sm,44,10,62,60,131,True,4,0,300,2.112903,0.754167,1.0,5.0,10,65,44;35;42;49
j6044_2.sm,44,2,62,60,131,True,4,0,326,2.112903,0.754167,1.0,5.4333,10,68,44;50;37;42
j6044_3.sm,44,3,62,60,131,True,4,0,346,2.112903,0.754167,1.0,5.7667,10,87,43;37;57;40
j6044_4.sm,44,4,62,60,131,True,4,0,365,2.112903,0.754167,1.0,6.0833,10,77,50;50;47;38
j6044_5.sm,44,5,62,60,131,True,4,0,306,2.112903,0.754167,1.0,5.1,10,74,37;34;44;34
j6044_6.sm,44,6,62,60,131,True,4,0,320,2.112903,0.754167,1.0,5.3333,10,81,40;41;50;40
j6044_7.sm,44,7,62,60,131,True,4,0,299,2.112903,0.754167,1.0,4.9833,10,76,52;53;44;48
j6044_8.sm,44,8,62,60,131,True,4,0,319,2.112903,0.754167,1.0,5.3167,10,83,45;37;32;48
j6044_9.sm,44,9,62,60,131,True,4,0,325,2.112903,0.754167,1.0,5.4167,10,65,49;41;43;34
j6045_1.sm,45,1,62,60,131,True,4,0,305,2.112903,1.0,0.204001,5.0833,10,71,23;20;19;21
j6045_10.sm,45,10,62,60,131,True,4,0,312,2.112903,1.0,0.206192,5.2,10,61,21;21;19;18
j6045_2.sm,45,2,62,60,131,True,4,0,371,2.112903,1.0,0.197624,6.1833,10,78,18;18;18;18
j6045_3.sm,45,3,62,60,131,True,4,0,363,2.112903,1.0,0.198262,6.05,10,86,19;17;18;16
j6045_4.sm,45,4,62,60,131,True,4,0,289,2.112903,1.0,0.204628,4.8167,10,60,17;20;19;18
j6045_5.sm,45,5,62,60,131,True,4,0,310,2.112903,1.0,0.197648,5.1667,10,60,19;20;19;18
j6045_6.sm,45,6,62,60,131,True,4,0,382,2.112903,1.0,0.202485,6.3667,10,80,17;17;18;18
j6045_7.sm,45,7,62,60,131,True,4,0,305,2.112903,1.0,0.195143,5.0833,10,74,19;18;17;19
j6045_8.sm,45,8,62,60,131,True,4,0,362,2.112903,1.0,0.199183,6.0333,10,79,20;18;19;18
j6045_9.sm,45,9,62,60,131,True,4,0,328,2.112903,1.0,0.206988,5.4667,10,78,19;18;19;20
j6046_1.sm,46,1,62,60,131,True,4,0,320,2.112903,1.0,0.511498,5.3333,10,78,27;34;38;33
j6046_10.sm,46,10,62,60,131,True,4,0,345,2.112903,1.0,0.503788,5.75,10,79,27;32;28;26
j6046_2.sm,46,2,62,60,131,True,4,0,338,2.112903,1.0,0.506022,5.6333,10,78,36;28;34;34
j6046_3.sm,46,3,62,60,131,True,4,0,321,2.112903,1.0,0.502551,5.35,10,79,27;32;35;27
j6046_4.sm,46,4,62,60,131,True,4,0,329,2.112903,1.0,0.50266,5.4833,10,71,35;35;34;32
j6046_5.sm,46,5,62,60,131,True,4,0,350,2.112903,1.0,0.50266,5.8333,10,82,29;34;32;24
j6046_6.sm,46,6,62,60,131,True,4,0,308,2.112903,1.0,0.512653,5.1333,10,87,26;25;25;27
j6046_7.sm,46,7,62,60,131,True,4,0,310,2.112903,1.0,0.503205,5.1667,10,75,29;34;28;30
j6046_8.sm,46,8,62,60,131,True,4,0,347,2.112903,1.0,0.506112,5.7833,10,72,37;32;31;30
j6046_9.sm,46,9,62,60,131,True,4,0,329,2.112903,1.0,0.502049,5.4833,10,60,37;37;41;31
j6047_1.sm,47,1,62,60,131,True,4,0,343,2.112903,1.0,0.6962,5.7167,10,75,44;44;43;51
j6047_10.sm,47,10,62,60,131,True,4,0,321,2.112903,1.0,0.700249,5.35,10,66,44;39;40;43
j6047_2.sm,47,2,62,60,131,True,4,0,338,2.112903,1.0,0.696986,5.6333,10,66,45;44;42;54
j6047_3.sm,47,3,62,60,131,True,4,0,323,2.112903,1.0,0.706186,5.3833,10,69,37;34;44;38
j6047_4.sm,47,4,62,60,131,True,4,0,316,2.112903,1.0,0.699748,5.2667,10,76,44;39;37;30
j6047_5.sm,47,5,62,60,131,True,4,0,327,2.112903,1.0,0.704462,5.45,10,87,35;28;33;35
j6047_6.sm,47,6,62,60,131,True,4,0,323,2.112903,1.0,0.707829,5.3833,10,76,37;38;32;42
j6047_7.sm,47,7,62,60,131,True,4,0,334,2.112903,1.0,0.705139,5.5667,10,68,43;38;42;39
j6047_8.sm,47,8,62,60,131,True,4,0,307,2.112903,1.0,0.70193,5.1167,10,71,35;35;41;35
j6047_9.sm,47,9,62,60,131,True,4,0,323,2.112903,1.0,0.702379,5.3833,10,76,45;41;37;35
j6048_1.sm,48,1,62,60,131,True,4,0,333,2.112903,1.0,1.0,5.55,10,71,62;64;60;59
j6048_10.sm,48,10,62,60,131,True,4,0,311,2.112903,1.0,1.0,5.1833,10,70,41;44;56;52
j6048_2.sm,48,2,62,60,131,True,4,0,300,2.112903,1.0,1.0,5.0,10,87,48;55;46;49
j6048_3.sm,48,3,62,60,131,True,4,0,387,2.112903,1.0,1.0,6.45,10,84,58;57;49;40
j6048_4.sm,48,4,62,60,131,True,4,0,303,2.112903,1.0,1.0,5.05,10,62,56;41;55;47
j6048_5.sm,48,5,62,60,131,True,4,0,337,2.112903,1.0,1.0,5.6167,10,101,45;50;45;51
j6048_6.sm,48,6,62,60,131,True,4,0,320,2.112903,1.0,1.0,5.3333,10,66,55;49;44;47
j6048_7.sm,48,7,62,60,131,True,4,0,351,2.112903,1.0,1.0,5.85,10,77,56;57;49;46
j6048_8.sm,48,8,62,60,131,True,4,0,337,2.112903,1.0,1.0,5.6167,10,88,40;39;48;48
j6048_9.sm,48,9,62,60,131,True,4,0,317,2.112903,1.0,1.0,5.2833,10,82,52;50;54;39
j604_1.sm,4,1,62,60,93,True,4,0,382,1.5,0.25,1.0,6.3667,10,84,33;23;26;26
j604_10.sm,4,10,62,60,93,True,4,0,321,1.5,0.25,1.0,5.35,10,77,22;17;12;29
j604_2.sm,4,2,62,60,93,True,4,0,321,1.5,0.25,1.0,5.35,10,60,22;34;30;28
j604_3.sm,4,3,62,60,93,True,4,0,332,1.5,0.25,1.0,5.5333,10,58,31;25;35;23
j604_4.sm,4,4,62,60,93,True,4,0,322,1.5,0.25,1.0,5.3667,10,65,28;20;18;17
j604_5.sm,4,5,62,60,93,True,4,0,345,1.5,0.25,1.0,5.75,10,75,22;23;28;26
j604_6.sm,4,6,62,60,93,True,4,0,306,1.5,0.25,1.0,5.1,10,71,23;31;16;24
j604_7.sm,4,7,62,60,93,True,4,0,333,1.5,0.25,1.0,5.55,10,67,20;29;32;29
j604_8.sm,4,8,62,60,93,True,4,0,306,1.5,0.25,1.0,5.1,10,65,27;19;32;27
j604_9.sm,4,9,62,60,93,True,4,0,332,1.5,0.25,1.0,5.5333,10,75,23;36;31;16
j605_1.sm,5,1,62,60,93,True,4,0,284,1.5,0.504167,0.190469,4.7333,10,59,15;18;17;16
j605_10.sm,5,10,62,60,93,True,4,0,329,1.5,0.504167,0.196532,5.4833,10,68,19;14;19;20
j605_2.sm,5,2,62,60,93,True,4,0,345,1.5,0.504167,0.205098,5.75,10,76,16;16;15;14
j605_3.sm,5,3,62,60,93,True,4,0,337,1.5,0.504167,0.203136,5.6167,10,59,18;14;20;16
j605_4.sm,5,4,62,60,93,True,4,0,292,1.5,0.504167,0.210539,4.8667,10,53,14;16;18;14
j605_5.sm,5,5,62,60,93,True,4,0,350,1.5,0.504167,0.206158,5.8333,10,79,15;13;13;16
j605_6.sm,5,6,62,60,93,True,4,0,313,1.5,0.504167,0.206403,5.2167,10,64,17;16;15;22
j605_7.sm,5,7,62,60,93,True,4,0,294,1.5,0.504167,0.196296,4.9,10,51,15;15;14;16
j605_8.sm,5,8,62,60,93,True,4,0,323,1.5,0.504167,0.197914,5.3833,10,65,17;14;13;19
j605_9.sm,5,9,62,60,93,True,4,0,309,1.5,0.504167,0.193396,5.15,10,82,14;13;14;17
j606_1.sm,6,1,62,60,93,True,4,0,331,1.5,0.504167,0.511387,5.5167,10,60,24;21;22;31
j606_10.sm,6,10,62,60,93,True,4,0,310,1.5,0.504167,0.507353,5.1667,10,74,19;28;32;21
j606_2.sm,6,2,62,60,93,True,4,0,346,1.5,0.504167,0.513768,5.7667,10,66,18;24;22;25
j606_3.sm,6,3,62,60,93,True,4,0,336,1.5,0.504167,0.505435,5.6,10,72,21;21;20;21
j606_4.sm,6,4,62,60,93,True,4,0,342,1.5,0.504167,0.509032,5.7,10,67,23;26;31;27
j606_5.sm,6,5,62,60,93,True,4,0,383,1.5,0.504167,0.511213,6.3833,10,78,29;30;24;28
j606_6.sm,6,6,62,60,93,True,4,0,337,1.5,0.504167,0.5,5.6167,10,53,23;28;24;24
j606_7.sm,6,7,62,60,93,True,4,0,316,1.5,0.504167,0.5,5.2667,10,60,26;31;24;22
j606_8.sm,6,8,62,60,93,True,4,0,345,1.5,0.504167,0.50431,5.75,10,72,23;21;25;24
j606_9.sm,6,9,62,60,93,True,4,0,321,1.5,0.504167,0.512535,5.35,10,64,38;21;25;25
j607_1.sm,7,1,62,60,93,True,4,0,336,1.5,0.504167,0.70299,5.6,10,77,31;40;31;35
j607_10.sm,7,10,62,60,93,True,4,0,330,1.5,0.504167,0.694626,5.5,10,82,37;32;23;37
j607_2.sm,7,2,62,60,93,True,4,0,315,1.5,0.504167,0.716947,5.25,10,85,25;21;35;20
j607_3.sm,7,3,62,60,93,True,4,0,326,1.5,0.504167,0.70625,5.4333,10,62,36;34;43;25
j607_4.sm,7,4,62,60,93,True,4,0,362,1.5,0.504167,0.703151,6.0333,10,63,43;31;39;27
j607_5.sm,7,5,62,60,93,True,4,0,292,1.5,0.504167,0.691753,4.8667,10,71,30;22;30;25
j607_6.sm,7,6,62,60,93,True,4,0,298,1.5,0.504167,0.706541,4.9667,10,65,21;32;26;32
j607_7.sm,7,7,62,60,93,True,4,0,378,1.5,0.504167,0.702203,6.3,10,89,40;30;28;41
j607_8.sm,7,8,62,60,93,True,4,0,310,1.5,0.504167,0.697222,5.1667,10,66,30;28;36;44
j607_9.sm,7,9,62,60,93,True,4,0,297,1.5,0.504167,0.709681,4.95,10,44,28;28;50;33
j608_1.sm,8,1,62,60,93,True,4,0,326,1.5,0.504167,1.0,5.4333,10,64,48;50;40;36
j608_10.sm,8,10,62,60,93,True,4,0,373,1.5,0.504167,1.0,6.2167,10,97,39;56;36;27
j608_2.sm,8,2,62,60,93,True,4,0,370,1.5,0.504167,1.0,6.1667,10,61,48;48;36;50
j608_3.sm,8,3,62,60,93,True,4,0,315,1.5,0.504167,1.0,5.25,10,79,38;25;34;35
j608_4.sm,8,4,62,60,93,True,4,0,350,1.5,0.504167,1.0,5.8333,10,64,55;49;38;34
j608_5.sm,8,5,62,60,93,True,4,0,345,1.5,0.504167,1.0,5.75,10,83,30;37;45;35
j608_6.sm,8,6,62,60,93,True,4,0,337,1.5,0.504167,1.0,5.6167,10,56,49;41;47;38
j608_7.sm,8,7,62,60,93,True,4,0,352,1.5,0.504167,1.0,5.8667,10,62,38;38;43;42
j608_8.sm,8,8,62,60,93,True,4,0,313,1.5,0.504167,1.0,5.2167,9,66,41;43;40;30
j608_9.sm,8,9,62,60,93,True,4,0,312,1.5,0.504167,1.0,5.2,10,58,40;34;47;43
j609_1.sm,9,1,62,60,93,True,4,0,305,1.5,0.754167,0.199024,5.0833,10,59,22;19;22;21
j609_10.sm,9,10,62,60,93,True,4,0,322,1.5,0.754167,0.201348,5.3667,10,65,17;20;17;20
j609_2.sm,9,2,62,60,93,True,4,0,284,1.5,0.754167,0.209124,4.7333,10,71,17;19;19;18
j609_3.sm,9,3,62,60,93,True,4,0,305,1.5,0.754167,0.187246,5.0833,10,65,14;16;14;17
j609_4.sm,9,4,62,60,93,True,4,0,311,1.5,0.754167,0.198515,5.1833,10,65,20;17;16;21
j609_5.sm,9,5,62,60,93,True,4,0,308,1.5,0.754167,0.201408,5.1333,10,52,20;19;18;18
j609_6.sm,9,6,62,60,93,True,4,0,390,1.5,0.754167,0.199702,6.5,10,90,20;20;18;18
j609_7.sm,9,7,62,60,93,True,4,0,351,1.5,0.754167,0.195696,5.85,10,74,20;19;18;19
j609_8.sm,9,8,62,60,93,True,4,0,341,1.5,0.754167,0.201801,5.6833,10,65,17;19;18;20
j609_9.sm,9,9,62,60,93,True,4,0,355,1.5,0.754167,0.205851,5.9167,10,80,18;21;19;20
